Chidamber-Kemerer metrics,quinta, 6 nov. 2025 13:10:33 WET
Class,CBO,DIT,LCOM,NOC,RFC,WMC
mindustry.game.EventType.WorldLoadEvent,20,1,0,0,0,0
mindustry.game.FogControl,32,1,1,0,63,89
mindustry.game.FogControl.DynamicFogThread,1,2,1,0,7,3
mindustry.game.FogControl.FogData,1,1,0,0,2,1
mindustry.game.FogControl.FogEventStruct,0,1,0,0,0,0
mindustry.game.FogControl.StaticFogThread,1,2,1,0,5,3
mindustry.game.GameStats,12,1,0,0,1,0
mindustry.game.Gamemode,17,n/a,5,n/a,15,8
mindustry.game.MapMarkers,7,1,1,0,22,13
mindustry.game.MapObjectives,37,1,4,0,45,24
mindustry.game.MapObjectives.Alignment,n/a,n/a,n/a,n/a,2,n/a
mindustry.game.MapObjectives.BuildCountObjective,8,2,1,0,8,6
mindustry.game.MapObjectives.CommandModeObjective,5,2,2,0,4,2
mindustry.game.MapObjectives.CoreItemObjective,8,2,1,0,8,6
mindustry.game.MapObjectives.DestroyBlockObjective,8,2,1,0,10,6
mindustry.game.MapObjectives.DestroyBlocksObjective,9,2,1,0,9,9
mindustry.game.MapObjectives.DestroyCoreObjective,6,2,2,0,4,2
mindustry.game.MapObjectives.DestroyUnitsObjective,5,2,1,0,5,4
mindustry.game.MapObjectives.FlagObjective,6,2,1,0,10,7
mindustry.game.MapObjectives.Immutable,n/a,n/a,n/a,n/a,0,n/a
mindustry.game.MapObjectives.ItemObjective,10,2,1,0,10,6
mindustry.game.MapObjectives.LabelFlag,n/a,n/a,n/a,n/a,0,n/a
mindustry.game.MapObjectives.LineMarker,6,3,1,0,17,16
mindustry.game.MapObjectives.MapObjective,29,1,8,13,25,19
mindustry.game.MapObjectives.Multiline,n/a,n/a,n/a,n/a,0,n/a
mindustry.game.MapObjectives.ObjectiveMarker,24,1,5,2,19,14
mindustry.game.MapObjectives.PointMarker,5,3,1,0,17,7
mindustry.game.MapObjectives.PosMarker,9,2,1,6,4,5
mindustry.game.MapObjectives.ProduceObjective,4,2,1,0,8,6
mindustry.game.MapObjectives.QuadMarker,5,2,1,0,22,32
mindustry.game.MapObjectives.ResearchObjective,4,2,1,0,8,6
mindustry.game.MapObjectives.Researchable,n/a,n/a,n/a,n/a,0,n/a
mindustry.game.MapObjectives.Second,n/a,n/a,n/a,n/a,0,n/a
mindustry.game.MapObjectives.ShapeMarker,5,3,1,0,18,12
mindustry.game.MapObjectives.ShapeTextMarker,5,3,1,0,22,14
mindustry.game.MapObjectives.Synthetic,n/a,n/a,n/a,n/a,0,n/a
mindustry.game.MapObjectives.TextMarker,4,3,1,0,12,11
mindustry.game.MapObjectives.TextureMarker,5,3,1,0,19,14
mindustry.game.MapObjectives.TilePos,n/a,n/a,n/a,n/a,0,n/a
mindustry.game.MapObjectives.TimerObjective,6,2,1,0,15,10
mindustry.game.MapObjectives.UnitCountObjective,10,2,1,0,9,6
mindustry.game.MapObjectives.Unordered,n/a,n/a,n/a,n/a,0,n/a
mindustry.game.MapObjectives.Vertices,n/a,n/a,n/a,n/a,0,n/a
mindustry.game.Objectives,1,1,0,0,0,1
mindustry.game.Objectives.Objective,n/a,n/a,n/a,n/a,3,n/a
mindustry.game.Objectives.OnPlanet,6,1,1,0,6,4
mindustry.game.Objectives.OnSector,7,1,1,0,6,4
mindustry.game.Objectives.Produce,5,1,1,0,7,5
mindustry.game.Objectives.Research,7,1,1,0,7,5
mindustry.game.Objectives.SectorComplete,10,1,1,0,7,4
mindustry.game.Rules,181,1,6,1,26,19
mindustry.game.Rules.TeamRule,16,1,0,0,0,0
mindustry.game.Rules.TeamRules,6,1,1,0,6,7
mindustry.game.Saves,28,1,1,0,72,38
mindustry.game.Saves.SaveSlot,26,1,1,0,68,40
mindustry.game.Schematic,31,1,3,0,36,22
mindustry.game.Schematic.Stile,9,1,1,0,4,4
mindustry.game.Schematics,60,1,1,0,217,117
mindustry.game.SectorInfo,45,1,1,0,63,53
mindustry.game.SectorInfo.ExportStat,4,1,0,0,2,1
mindustry.game.SpawnGroup,25,1,2,35,42,42
mindustry.game.Team,163,1,3,0,43,27
mindustry.game.Teams,35,1,2,0,42,62
mindustry.game.Teams.BlockPlan,13,1,0,0,2,2
mindustry.game.Teams.TeamData,49,1,2,0,45,36
mindustry.game.Universe,33,1,1,0,84,64
mindustry.game.Waves,14,1,1,0,21,23
mindustry.graphics.BlockRenderer,36,1,1,0,127,96
mindustry.graphics.BlockRenderer.BlockLightQuadtree,3,2,2,0,8,3
mindustry.graphics.BlockRenderer.BlockQuadtree,3,2,2,0,8,3
mindustry.graphics.BlockRenderer.FloorQuadtree,4,2,2,0,8,3
mindustry.graphics.CacheLayer,15,1,3,1,10,9
mindustry.graphics.CacheLayer.ShaderLayer,5,2,1,0,9,6
mindustry.graphics.CubemapMesh,2,1,1,0,18,4
mindustry.graphics.DebugCollisionRenderer,6,1,1,0,26,11
mindustry.graphics.Drawf,124,1,6,0,147,82
mindustry.graphics.EnvRenderers,9,1,1,0,34,4
mindustry.graphics.FloorRenderer,15,1,1,0,81,59
mindustry.graphics.FloorRenderer.ChunkMesh,1,2,0,0,4,1
mindustry.graphics.FloorRenderer.FloorRenderBatch,2,2,3,0,10,9
mindustry.graphics.FogRenderer,15,1,1,0,46,22
mindustry.graphics.GpuDetect,2,1,1,0,13,2
mindustry.graphics.InverseKinematics,1,1,1,0,16,3
mindustry.graphics.Layer,96,1,0,0,0,0
mindustry.graphics.LightRenderer,10,1,1,0,40,16
mindustry.graphics.LightRenderer.CircleLight,1,1,1,0,1,1
mindustry.graphics.LoadRenderer,12,1,1,0,121,61
mindustry.graphics.LoadRenderer.Bar,1,1,3,0,8,5
mindustry.graphics.MenuRenderer,12,1,1,0,77,35
mindustry.graphics.MinimapRenderer,35,1,1,0,120,62
mindustry.graphics.MultiPacker,13,1,2,1,31,27
mindustry.graphics.MultiPacker.PageType,11,n/a,2,n/a,5,3
mindustry.graphics.NvGpuInfo,1,1,1,0,5,6
mindustry.graphics.OverlayRenderer,28,1,1,0,92,56
mindustry.graphics.OverlayRenderer.CoreEdge,3,1,1,0,2,7
mindustry.graphics.Pal,181,1,0,0,5,0
mindustry.graphics.ParticleRenderer,3,1,1,0,33,20
mindustry.graphics.Pixelator,4,1,1,0,23,7
mindustry.graphics.Shaders,42,1,2,0,20,3
mindustry.graphics.Shaders.AtmosphereShader,3,3,1,0,15,2
mindustry.graphics.Shaders.BlockBuildShader,6,3,1,0,6,3
mindustry.graphics.Shaders.BuildBeamShader,2,3,1,0,6,2
mindustry.graphics.Shaders.CloudShader,7,3,1,0,13,2
mindustry.graphics.Shaders.DarknessShader,2,3,0,0,2,1
mindustry.graphics.Shaders.FogShader,2,3,0,0,2,1
mindustry.graphics.Shaders.LightShader,3,3,1,0,5,2
mindustry.graphics.Shaders.LoadShader,15,2,0,14,3,1
mindustry.graphics.Shaders.MeshShader,2,3,0,0,2,1
mindustry.graphics.Shaders.PlanetGridShader,3,3,1,0,5,2
mindustry.graphics.Shaders.PlanetShader,7,3,1,0,13,3
mindustry.graphics.Shaders.ShieldShader,2,3,1,0,6,2
mindustry.graphics.Shaders.ShockwaveShader,5,3,1,0,25,14
mindustry.graphics.Shaders.SpaceShader,4,3,1,0,13,2
mindustry.graphics.Shaders.SurfaceShader,4,2,1,2,18,7
mindustry.graphics.Shaders.UnitArmorShader,3,3,1,0,5,2
mindustry.graphics.Shaders.UnitBuildShader,3,3,1,0,7,2
mindustry.graphics.Trail,7,1,1,0,24,22
mindustry.graphics.Voronoi,6,1,1,0,25,100
mindustry.graphics.Voronoi.Edge,3,1,0,0,0,0
mindustry.graphics.Voronoi.GraphEdge,2,1,0,0,0,0
mindustry.graphics.Voronoi.Halfedge,3,1,0,0,0,0
mindustry.graphics.Voronoi.Site,3,1,0,0,1,0
mindustry.graphics.g3d.GenericMesh,n/a,n/a,n/a,n/a,1,n/a
mindustry.graphics.g3d.HexMesh,10,2,1,2,13,4
mindustry.graphics.g3d.HexMesher,n/a,n/a,n/a,n/a,5,n/a
mindustry.graphics.g3d.HexSkyMesh,8,2,1,0,21,10
mindustry.graphics.g3d.MatMesh,4,1,1,0,8,3
mindustry.graphics.g3d.MeshBuilder,13,1,1,0,50,45
mindustry.graphics.g3d.MultiMesh,4,1,1,0,5,5
mindustry.graphics.g3d.NoiseMesh,7,3,0,0,3,7
mindustry.graphics.g3d.PlanetGrid,7,1,4,0,20,47
mindustry.graphics.g3d.PlanetGrid.Corner,6,1,0,0,2,1
mindustry.graphics.g3d.PlanetGrid.Edge,3,1,0,0,1,1
mindustry.graphics.g3d.PlanetGrid.Ptile,13,1,0,0,3,2
mindustry.graphics.g3d.PlanetMesh,7,1,1,3,11,6
mindustry.graphics.g3d.PlanetParams,16,1,0,1,1,0
mindustry.graphics.g3d.PlanetRenderer,12,1,1,0,87,35
mindustry.graphics.g3d.PlanetRenderer.PlanetInterfaceRenderer,n/a,n/a,n/a,n/a,3,n/a
mindustry.graphics.g3d.ShaderSphereMesh,4,2,0,0,3,1
mindustry.graphics.g3d.SunMesh,6,3,0,0,2,3
mindustry.input.Binding,19,1,1,0,5,2
mindustry.input.DesktopInput,33,2,1,0,203,209
mindustry.input.InputHandler,100,1,6,2,399,488
mindustry.input.InputHandler.PlaceLine,1,1,0,0,0,0
mindustry.input.MobileInput,32,2,1,0,196,193
mindustry.input.PlaceMode,2,n/a,2,n/a,2,0
mindustry.input.Placement,22,1,2,0,80,77
mindustry.input.Placement.NormalizeDrawResult,2,1,0,0,0,0
mindustry.input.Placement.NormalizeResult,3,1,0,0,0,0
mindustry.io.JsonIO,49,1,2,0,30,65
mindustry.io.JsonIO.CustomJson,1,2,1,0,9,4
mindustry.io.MapIO,25,1,3,0,57,52
mindustry.io.SaveFileReader,14,1,7,1,39,21
mindustry.io.SaveFileReader.CustomChunk,n/a,n/a,n/a,n/a,5,n/a
mindustry.io.SaveFileReader.IORunner,n/a,n/a,n/a,n/a,1,n/a
mindustry.io.SaveFileReader.IORunnerLength,n/a,n/a,n/a,n/a,1,n/a
mindustry.io.SaveIO,33,1,1,0,71,29
mindustry.io.SaveIO.SaveException,4,4,0,0,2,1
mindustry.io.SaveMeta,14,1,0,0,7,1
mindustry.io.SavePreviewLoader,1,4,1,0,8,2
mindustry.io.SaveVersion,54,2,2,2,142,92
mindustry.io.TypeIO,60,1,35,0,189,273
mindustry.io.TypeIO.Boxed,n/a,n/a,n/a,n/a,1,n/a
mindustry.io.TypeIO.BuildingBox,4,1,1,0,4,3
mindustry.io.TypeIO.ContentMapper,n/a,n/a,n/a,n/a,1,n/a
mindustry.io.TypeIO.UnitBox,2,1,1,0,3,3
mindustry.io.versions.LegacyIO,3,1,1,0,11,3
mindustry.io.versions.LegacyRegionSaveVersion,10,4,1,3,7,2
mindustry.io.versions.LegacySaveVersion,14,5,2,3,28,20
mindustry.io.versions.LegacySaveVersion2,5,5,1,2,8,4
mindustry.io.versions.Save1,2,6,1,0,4,2
mindustry.io.versions.Save10,2,3,0,0,2,1
mindustry.io.versions.Save2,2,6,1,0,4,2
mindustry.io.versions.Save3,7,6,1,0,11,4
mindustry.io.versions.Save4,3,6,1,0,5,2
mindustry.io.versions.Save5,2,6,0,0,2,1
mindustry.io.versions.Save6,2,5,0,0,2,1
mindustry.io.versions.Save7,2,4,0,0,2,1
mindustry.io.versions.Save8,2,4,0,0,2,1
mindustry.io.versions.Save9,2,4,0,0,2,1
mindustry.io.versions.ShortChunkSaveVersion,15,3,2,4,30,22
mindustry.ios.IOSLauncher,13,6,2,0,51,28
mindustry.logic.ConditionOp,7,n/a,3,n/a,12,6
mindustry.logic.ConditionOp.CondObjOpLambda,n/a,n/a,n/a,n/a,1,n/a
mindustry.logic.ConditionOp.CondOpLambda,n/a,n/a,n/a,n/a,1,n/a
mindustry.logic.Controllable,n/a,n/a,n/a,n/a,3,n/a
mindustry.logic.CutsceneAction,2,n/a,2,n/a,2,0
mindustry.logic.FetchType,2,n/a,2,n/a,2,0
mindustry.logic.GlobalVars,36,1,1,0,61,46
mindustry.logic.GlobalVars.VarEntry,2,1,0,0,2,2
mindustry.logic.GlobalVarsDialog,7,7,1,0,43,5
mindustry.logic.LAccess,55,n/a,2,n/a,6,2
mindustry.logic.LAssembler,61,1,2,0,48,33
mindustry.logic.LCanvas,16,5,2,0,68,30
mindustry.logic.LCanvas.DragLayout,4,4,1,0,48,39
mindustry.logic.LCanvas.JumpButton,6,7,1,0,16,9
mindustry.logic.LCanvas.JumpCurve,4,2,1,0,30,21
mindustry.logic.LCanvas.StatementElem,8,5,3,0,46,11
mindustry.logic.LCategory,53,1,2,0,8,5
mindustry.logic.LExecutor,79,1,3,0,53,44
mindustry.logic.LExecutor.ApplyEffectI,7,1,1,0,7,6
mindustry.logic.LExecutor.ClientDataI,4,1,1,0,5,6
mindustry.logic.LExecutor.ControlI,6,1,1,0,7,7
mindustry.logic.LExecutor.CutsceneI,9,1,1,0,7,4
mindustry.logic.LExecutor.DrawFlushI,6,1,1,0,6,5
mindustry.logic.LExecutor.DrawI,9,1,1,0,24,22
mindustry.logic.LExecutor.EffectI,7,1,1,0,10,5
mindustry.logic.LExecutor.EndI,5,1,1,0,1,1
mindustry.logic.LExecutor.ExplosionI,8,1,1,0,9,4
mindustry.logic.LExecutor.FetchI,9,1,1,0,12,20
mindustry.logic.LExecutor.FlushMessageI,11,1,1,0,17,8
mindustry.logic.LExecutor.FormatI,5,1,1,0,9,11
mindustry.logic.LExecutor.GetBlockI,8,1,1,0,10,4
mindustry.logic.LExecutor.GetFlagI,7,1,1,0,7,4
mindustry.logic.LExecutor.GetLinkI,5,1,1,0,5,4
mindustry.logic.LExecutor.JumpI,5,1,1,0,4,4
mindustry.logic.LExecutor.LInstruction,n/a,n/a,n/a,n/a,1,n/a
mindustry.logic.LExecutor.LocalePrintI,8,1,1,0,8,7
mindustry.logic.LExecutor.LookupI,7,1,1,0,6,3
mindustry.logic.LExecutor.MakeMarkerI,10,1,1,0,12,5
mindustry.logic.LExecutor.NoopI,3,1,1,0,1,1
mindustry.logic.LExecutor.OpI,8,1,1,0,10,7
mindustry.logic.LExecutor.PackColorI,4,1,1,0,7,3
mindustry.logic.LExecutor.PlaySoundI,5,1,1,0,11,5
mindustry.logic.LExecutor.PrintCharI,5,1,1,0,7,6
mindustry.logic.LExecutor.PrintFlushI,5,1,1,0,8,4
mindustry.logic.LExecutor.PrintI,11,1,1,0,11,15
mindustry.logic.LExecutor.RadarI,18,1,1,0,16,17
mindustry.logic.LExecutor.ReadI,5,1,1,0,10,7
mindustry.logic.LExecutor.SelectI,5,1,1,0,5,5
mindustry.logic.LExecutor.SenseI,7,1,1,0,10,9
mindustry.logic.LExecutor.SenseWeatherI,5,1,1,0,5,2
mindustry.logic.LExecutor.SetBlockI,14,1,1,0,19,10
mindustry.logic.LExecutor.SetFlagI,7,1,1,0,6,4
mindustry.logic.LExecutor.SetI,4,1,1,0,4,4
mindustry.logic.LExecutor.SetMarkerI,10,1,1,0,15,8
mindustry.logic.LExecutor.SetPropI,7,1,1,0,8,7
mindustry.logic.LExecutor.SetRateI,6,1,1,0,5,4
mindustry.logic.LExecutor.SetRuleI,15,1,1,0,18,11
mindustry.logic.LExecutor.SetWeatherI,5,1,1,0,7,6
mindustry.logic.LExecutor.SpawnUnitI,11,1,1,0,13,5
mindustry.logic.LExecutor.SpawnWaveI,12,1,1,0,13,8
mindustry.logic.LExecutor.StopI,4,1,1,0,1,1
mindustry.logic.LExecutor.SyncI,4,1,1,0,5,5
mindustry.logic.LExecutor.UnitBindI,11,1,1,0,10,8
mindustry.logic.LExecutor.UnitControlI,23,1,1,0,28,40
mindustry.logic.LExecutor.UnitLocateI,16,1,1,0,20,13
mindustry.logic.LExecutor.UnitLocateI.Cache,1,1,0,0,0,0
mindustry.logic.LExecutor.UnpackColorI,4,1,1,0,6,3
mindustry.logic.LExecutor.WaitI,4,1,1,0,4,4
mindustry.logic.LExecutor.WriteI,5,1,1,0,6,5
mindustry.logic.LLocate,2,n/a,2,n/a,2,0
mindustry.logic.LMarkerControl,14,n/a,2,n/a,3,1
mindustry.logic.LParser,7,1,1,0,31,38
mindustry.logic.LParser.JumpIndex,2,1,0,0,1,1
mindustry.logic.LReadable,n/a,n/a,n/a,n/a,2,n/a
mindustry.logic.LStatement,64,1,14,50,118,47
mindustry.logic.LStatements,0,1,0,0,0,0
mindustry.logic.LStatements.ApplyStatusStatement,10,2,3,0,28,8
mindustry.logic.LStatements.ClientDataStatement,8,2,4,0,9,6
mindustry.logic.LStatements.CommentStatement,4,2,2,0,8,2
mindustry.logic.LStatements.ControlStatement,8,2,2,0,22,12
mindustry.logic.LStatements.CutsceneStatement,7,2,3,0,22,5
mindustry.logic.LStatements.DrawFlushStatement,5,2,2,0,7,3
mindustry.logic.LStatements.DrawStatement,7,2,2,0,34,12
mindustry.logic.LStatements.EffectStatement,11,2,3,0,26,10
mindustry.logic.LStatements.EndStatement,5,2,3,0,3,3
mindustry.logic.LStatements.ExplosionStatement,5,2,3,0,9,4
mindustry.logic.LStatements.FetchStatement,7,2,3,0,25,8
mindustry.logic.LStatements.FlushMessageStatement,7,2,3,0,23,5
mindustry.logic.LStatements.FormatStatement,5,2,2,0,9,3
mindustry.logic.LStatements.GetBlockStatement,7,2,3,0,17,4
mindustry.logic.LStatements.GetFlagStatement,6,2,3,0,10,5
mindustry.logic.LStatements.GetLinkStatement,5,2,2,0,7,3
mindustry.logic.LStatements.InvalidStatement,6,2,2,0,2,2
mindustry.logic.LStatements.JumpStatement,12,2,2,0,36,16
mindustry.logic.LStatements.LocalePrintStatement,5,2,3,0,10,4
mindustry.logic.LStatements.LookupStatement,8,2,2,0,17,3
mindustry.logic.LStatements.MakeMarkerStatement,7,2,3,0,18,4
mindustry.logic.LStatements.OperationStatement,8,2,1,0,27,9
mindustry.logic.LStatements.PackColorStatement,5,2,2,0,8,3
mindustry.logic.LStatements.PlaySoundStatement,7,2,3,0,27,8
mindustry.logic.LStatements.PrintCharStatement,6,2,2,0,22,5
mindustry.logic.LStatements.PrintFlushStatement,5,2,2,0,7,3
mindustry.logic.LStatements.PrintStatement,5,2,2,0,9,3
mindustry.logic.LStatements.RadarStatement,9,2,2,1,22,12
mindustry.logic.LStatements.ReadStatement,5,2,2,0,9,3
mindustry.logic.LStatements.SelectStatement,7,2,2,0,17,4
mindustry.logic.LStatements.SensorStatement,17,2,2,0,51,18
mindustry.logic.LStatements.SetBlockStatement,7,2,3,0,19,6
mindustry.logic.LStatements.SetFlagStatement,6,2,3,0,10,5
mindustry.logic.LStatements.SetMarkerStatement,9,2,3,0,40,17
mindustry.logic.LStatements.SetPropStatement,15,2,3,0,49,13
mindustry.logic.LStatements.SetRateStatement,5,2,3,0,7,4
mindustry.logic.LStatements.SetRuleStatement,7,2,3,0,27,6
mindustry.logic.LStatements.SetStatement,5,2,2,0,7,3
mindustry.logic.LStatements.SpawnUnitStatement,6,2,3,0,15,6
mindustry.logic.LStatements.SpawnWaveStatement,5,2,3,0,10,4
mindustry.logic.LStatements.StopStatement,5,2,3,0,3,3
mindustry.logic.LStatements.SyncStatement,5,2,3,0,8,4
mindustry.logic.LStatements.UnitBindStatement,11,2,2,0,27,6
mindustry.logic.LStatements.UnitControlStatement,12,2,2,0,23,16
mindustry.logic.LStatements.UnitLocateStatement,13,2,2,0,33,8
mindustry.logic.LStatements.UnitRadarStatement,5,3,3,0,6,4
mindustry.logic.LStatements.UnpackColorStatement,5,2,2,0,8,3
mindustry.logic.LStatements.WaitStatement,5,2,2,0,7,3
mindustry.logic.LStatements.WeatherSenseStatement,10,2,3,0,29,6
mindustry.logic.LStatements.WeatherSetStatement,10,2,3,0,29,6
mindustry.logic.LStatements.WriteStatement,5,2,2,0,9,3
mindustry.logic.LUnitControl,3,n/a,2,n/a,3,1
mindustry.logic.LVar,62,1,1,0,22,45
mindustry.logic.LWritable,n/a,n/a,n/a,n/a,2,n/a
mindustry.logic.LogicDialog,23,7,1,0,125,49
mindustry.logic.LogicFx,5,1,1,0,18,4
mindustry.logic.LogicFx.EffectEntry,6,1,6,0,7,7
mindustry.logic.LogicOp,6,n/a,2,n/a,22,14
mindustry.logic.LogicOp.OpLambda1,n/a,n/a,n/a,n/a,1,n/a
mindustry.logic.LogicOp.OpLambda2,n/a,n/a,n/a,n/a,1,n/a
mindustry.logic.LogicOp.OpObjLambda2,n/a,n/a,n/a,n/a,1,n/a
mindustry.logic.LogicRule,2,n/a,2,n/a,2,0
mindustry.logic.MessageType,2,n/a,2,n/a,2,0
mindustry.logic.RadarSort,3,n/a,2,n/a,4,1
mindustry.logic.RadarSort.RadarSortFunc,n/a,n/a,n/a,n/a,1,n/a
mindustry.logic.RadarTarget,4,n/a,2,n/a,3,1
mindustry.logic.RadarTarget.RadarTargetFunc,n/a,n/a,n/a,n/a,1,n/a
mindustry.logic.Ranged,n/a,n/a,n/a,n/a,1,n/a
mindustry.logic.Senseable,n/a,n/a,n/a,n/a,4,n/a
mindustry.logic.Settable,n/a,n/a,n/a,n/a,3,n/a
mindustry.logic.TileLayer,4,n/a,2,n/a,2,0
mindustry.maps.Map,46,1,4,0,69,45
mindustry.maps.MapException,3,4,0,0,2,1
mindustry.maps.MapPreviewLoader,12,4,4,0,29,10
mindustry.maps.MapPreviewLoader.MapPreviewParameter,3,3,0,0,1,1
mindustry.maps.Maps,55,1,5,0,135,67
mindustry.maps.Maps.MapProvider,n/a,n/a,n/a,n/a,1,n/a
mindustry.maps.Maps.ShuffleMode,6,n/a,4,n/a,15,7
mindustry.maps.SectorDamage,38,1,1,0,72,102
mindustry.maps.SectorSubmissions,8,1,1,0,12,9
mindustry.maps.SectorSubmissions.MapSubmission,1,1,0,0,0,0
mindustry.maps.filters.BlendFilter,9,2,3,0,11,11
mindustry.maps.filters.ClearFilter,7,2,2,0,6,9
mindustry.maps.filters.CoreSpawnFilter,10,2,4,0,15,7
mindustry.maps.filters.DistortFilter,7,2,3,0,12,5
mindustry.maps.filters.EnemySpawnFilter,8,2,3,0,15,7
mindustry.maps.filters.FilterOption,27,1,1,4,4,0
mindustry.maps.filters.FilterOption.BlockOption,17,2,1,0,32,9
mindustry.maps.filters.FilterOption.SliderOption,15,2,1,0,29,6
mindustry.maps.filters.FilterOption.ToggleOption,3,2,1,0,12,2
mindustry.maps.filters.GenerateFilter,32,1,8,16,43,28
mindustry.maps.filters.GenerateFilter.GenerateInput,22,1,2,0,10,4
mindustry.maps.filters.GenerateFilter.GenerateInput.TileProvider,n/a,n/a,n/a,n/a,1,n/a
mindustry.maps.filters.GenerateFilter.PackTileStruct,0,1,0,0,0,0
mindustry.maps.filters.LogicFilter,14,2,3,0,9,7
mindustry.maps.filters.MedianFilter,10,2,3,0,17,8
mindustry.maps.filters.MirrorFilter,9,2,2,0,35,12
mindustry.maps.filters.NoiseFilter,8,2,2,0,6,6
mindustry.maps.filters.OreFilter,9,2,2,0,8,4
mindustry.maps.filters.OreMedianFilter,11,2,3,0,17,11
mindustry.maps.filters.RandomItemFilter,9,2,3,0,8,7
mindustry.maps.filters.RiverNoiseFilter,8,2,2,0,6,7
mindustry.maps.filters.ScatterFilter,8,2,2,0,7,6
mindustry.maps.filters.SpawnPathFilter,18,2,3,0,23,15
mindustry.maps.filters.TerrainFilter,8,2,2,0,7,5
mindustry.maps.generators.BaseGenerator,34,1,1,0,67,69
mindustry.maps.generators.BasicGenerator,24,1,1,1,90,118
mindustry.maps.generators.BlankPlanetGenerator,7,3,2,1,5,2
mindustry.maps.generators.FileMapGenerator,29,1,1,0,28,24
mindustry.maps.generators.PlanetGenerator,40,2,8,4,60,43
mindustry.maps.generators.WorldGenerator,n/a,n/a,n/a,n/a,2,n/a
mindustry.maps.planet.AsteroidGenerator,19,4,2,0,28,22
mindustry.maps.planet.ErekirPlanetGenerator,25,3,2,0,56,76
mindustry.maps.planet.SerpuloPlanetGenerator,33,3,2,0,124,148
mindustry.maps.planet.TantrosPlanetGenerator,13,3,5,0,26,14
mindustry.mod.ClassLoaderCloser,1,1,1,0,2,2
mindustry.mod.ClassMap,497,1,0,0,2,0
mindustry.mod.ContentParser,106,1,8,0,193,211
mindustry.mod.ContentParser.FieldParser,n/a,n/a,n/a,n/a,1,n/a
mindustry.mod.ContentParser.ParseListener,n/a,n/a,n/a,n/a,1,n/a
mindustry.mod.ContentParser.TypeParser,n/a,n/a,n/a,n/a,1,n/a
mindustry.mod.ContentParser.UnitReq,4,1,0,0,0,0
mindustry.mod.Mod,9,1,5,1,8,6
mindustry.mod.ModClassLoader,1,2,1,0,12,7
mindustry.mod.ModListing,1,1,0,0,1,1
mindustry.mod.Mods,57,1,1,0,240,204
mindustry.mod.Mods.LoadedMod,34,1,7,0,41,29
mindustry.mod.Mods.ModDependency,2,1,0,0,1,1
mindustry.mod.Mods.ModLoadException,1,4,0,0,2,1
mindustry.mod.Mods.ModMeta,10,1,2,0,13,16
mindustry.mod.Mods.ModResolutionContext,3,1,0,0,4,0
mindustry.mod.Mods.ModState,4,n/a,2,n/a,2,0
mindustry.mod.Plugin,2,2,0,0,0,0
mindustry.mod.Scripts,7,1,4,0,42,27
mindustry.mod.Scripts.ScriptModuleProvider,4,3,1,0,17,8
mindustry.net.Administration,26,1,6,0,97,89
mindustry.net.Administration.ActionFilter,n/a,n/a,n/a,n/a,1,n/a
mindustry.net.Administration.ActionType,4,n/a,2,n/a,2,0
mindustry.net.Administration.ChatFilter,n/a,n/a,n/a,n/a,1,n/a
mindustry.net.Administration.Config,9,1,1,0,24,17
mindustry.net.Administration.PlayerAction,9,1,1,0,3,3
mindustry.net.Administration.PlayerInfo,7,1,1,0,7,3
mindustry.net.Administration.TraceInfo,4,1,0,0,1,1
mindustry.net.ArcNetProvider,19,1,1,0,88,38
mindustry.net.ArcNetProvider.ArcConnection,6,2,1,0,16,11
mindustry.net.ArcNetProvider.PacketSerializer,6,1,1,0,42,26
mindustry.net.BeControl,12,1,2,0,76,20
mindustry.net.CrashHandler,10,1,1,0,60,30
mindustry.net.Host,11,1,0,0,2,2
mindustry.net.Net,99,1,1,0,103,68
mindustry.net.Net.NetProvider,n/a,n/a,n/a,n/a,11,n/a
mindustry.net.NetConnection,20,1,3,2,25,16
mindustry.net.NetworkIO,24,1,1,0,66,17
mindustry.net.Packet,11,1,6,6,10,7
mindustry.net.Packets,0,1,0,0,0,0
mindustry.net.Packets.AdminAction,5,n/a,2,n/a,2,0
mindustry.net.Packets.Connect,5,2,1,0,1,1
mindustry.net.Packets.ConnectPacket,9,2,2,0,21,6
mindustry.net.Packets.Disconnect,5,2,1,0,1,1
mindustry.net.Packets.KickReason,11,n/a,3,n/a,9,4
mindustry.net.Packets.StreamBegin,5,2,1,0,6,2
mindustry.net.Packets.StreamChunk,7,2,1,0,8,2
mindustry.net.Packets.WorldStream,4,3,0,0,0,0
mindustry.net.ServerGroup,3,1,1,0,11,10
mindustry.net.Streamable,7,2,1,1,1,1
mindustry.net.Streamable.StreamBuilder,3,1,1,0,12,5
mindustry.net.ValidateException,3,4,0,0,2,1
mindustry.net.WorldReloader,8,1,1,0,12,11
mindustry.server.ServerControl,39,1,1,0,221,178
mindustry.server.ServerLauncher,18,1,1,0,36,8
mindustry.service.Achievement,7,n/a,3,n/a,16,11
mindustry.service.GameService,75,1,8,1,77,114
mindustry.service.SStat,3,n/a,3,n/a,12,7
mindustry.tools.Generators,31,1,1,0,137,160
mindustry.tools.Generators.ScorchGenerator,1,1,1,0,12,3
mindustry.tools.IconConverter,1,1,1,0,41,32
mindustry.tools.ImagePacker,14,1,2,0,101,45
mindustry.tools.ImagePacker.GenRegion,2,3,1,1,3,3
mindustry.tools.ImagePacker.PackIndex,1,1,0,0,1,1
